I1,I2,La,Lb,Mab,FLUX_in_RCORE,FLUX_in_LCORE,FLUX_in_UCORE,Leak_R,Leak_L
-240,220,4.52E-05,4.37E-05,-5.57E-06,2.159622347,-2.143168946,-2.156936828,-0.015664011,0.014492839
-240,240,4.35E-05,4.35E-05,-5.29E-06,2.162361181,-2.161106657,-2.16362571,-0.014773771,0.01512735
-240,260,4.14E-05,4.32E-05,-5.00E-06,2.163051501,-2.174248214,-2.165993461,-0.014418414,0.01589872
-220,-260,7.18E-05,9.15E-05,-2.40E-05,0.229490986,1.930162954,1.190755573,-0.064496008,-0.064382934
-220,-240,0.000078804,8.99E-05,-2.58E-05,0.355942577,1.836447151,0.977326347,-0.064385301,-0.064211792
-220,-220,0.000088376,0.000088356,-2.82E-05,1.105749544,1.106410201,-0.005237435,-0.064385478,-0.064060045
-220,-200,9.88E-05,0.000086396,-3.06E-05,1.826032975,0.163507365,-1.114942082,-0.058591428,-0.059177578
-220,-180,1.17E-04,8.41E-05,-3.45E-05,1.936309284,-0.142271844,-1.400552161,-0.052747899,-0.05303139
-220,-160,1.38E-04,8.06E-05,-3.83E-05,1.982407454,-0.371095367,-1.614472766,-0.048231122,-0.047599371
-220,-140,1.56E-04,7.71E-05,-4.05E-05,1.994818659,-0.574261087,-1.785377381,-0.045813543,-0.04212737
-220,-120,1.62E-04,7.28E-05,-3.93E-05,2.053266299,-0.777197427,-1.812372205,-0.039431132,-0.036549827
-220,-100,1.63E-04,6.86E-05,-3.65E-05,2.071048195,-0.971670801,-1.877351202,-0.036255968,-0.03103011
-220,-80,1.57E-04,6.42E-05,-3.24E-05,2.080131126,-1.162462136,-1.941691632,-0.033764851,-0.02563233
-220,-60,1.47E-04,6.02E-05,-2.78E-05,2.096046516,-1.264745282,-1.985483054,-0.030309245,-0.020194165
-220,-40,1.36E-04,5.68E-05,-2.38E-05,2.101743186,-1.41876122,-2.022022996,-0.028187156,-0.015181817
-220,-20,1.25E-04,5.42E-05,-2.05E-05,2.108105046,-1.549504064,-2.047664995,-0.025905906,-0.010557278
-220,0,1.11E-04,5.24E-05,-1.73E-05,2.116631108,-1.650304888,-2.069061853,-0.024169963,-0.006383106
-220,20,9.72E-05,5.11E-05,-1.47E-05,2.121927647,-1.754474269,-2.085784225,-0.022527006,-0.00267854
-220,40,8.28E-05,5.00E-05,-1.22E-05,2.125884861,-1.828810978,-2.095923356,-0.021170396,0.000502816
-220,60,7.51E-05,4.91E-05,-1.08E-05,2.129941277,-1.891219887,-2.107055181,-0.020050808,0.003364886
-220,80,7.01E-05,4.85E-05,-9.87E-06,2.130905322,-1.944420446,-2.117017951,-0.01908207,0.005469708
-220,100,6.44E-05,4.79E-05,-8.92E-06,2.133993683,-1.987338526,-2.123881652,-0.01823772,0.007103449
-220,120,5.99E-05,4.74E-05,-8.16E-06,2.136548009,-2.027905485,-2.129979434,-0.017332974,0.009009249
-220,140,5.64E-05,4.69E-05,-7.58E-06,2.13736922,-2.056706365,-2.135103354,-0.016734334,0.010310373
-220,160,5.28E-05,4.65E-05,-7.01E-06,2.139317439,-2.081936639,-2.138605045,-0.016197871,0.011889862
-220,180,4.93E-05,4.62E-05,-6.48E-06,2.140192009,-2.104469565,-2.144074725,-0.015580538,0.012905948
-220,200,4.73E-05,4.58E-05,-6.14E-06,2.141675506,-2.12477126,-2.150327843,-0.015177988,0.013940168
-220,220,4.55E-05,4.55E-05,-5.85E-06,2.142426423,-2.142248819,-2.153364598,-0.014775462,0.014933888
-220,240,4.37E-05,4.52E-05,-5.56E-06,2.143671333,-2.158727089,-2.156977061,-0.014326776,0.015797682
-220,260,4.17E-05,4.50E-05,-5.26E-06,2.145210602,-2.172347388,-2.158249193,-0.013848379,0.016571055
-200,-260,7.03E-05,1.04E-04,-2.65E-05,-0.00982759,1.970448696,1.537336421,-0.059214837,-0.059914101
-200,-240,7.69E-05,1.02E-04,-2.82E-05,0.029171437,1.937926997,1.230458662,-0.058563829,-0.058387316
-200,-220,0.00008648,9.89E-05,-3.07E-05,0.168767885,1.829496376,1.088015837,-0.05859807,-0.058518907
-200,-200,0.000095784,0.000095772,-3.27E-05,1.00654439,1.007236399,-0.002370017,-0.05854335,-0.058283315
-200,-180,1.12E-04,0.000093544,-3.67E-05,1.813410379,-0.021725907,-1.174980723,-0.053013225,-0.053363999
-200,-160,1.35E-04,9.13E-05,-4.20E-05,1.926950067,-0.316891659,-1.483764571,-0.047314374,-0.047342316
-200,-140,1.56E-04,8.75E-05,-4.55E-05,1.957208058,-0.560949268,-1.673834832,-0.043634344,-0.042117489
-200,-120,1.65E-04,8.12E-05,-4.43E-05,1.956830563,-0.616462763,-1.849669875,-0.042247241,-0.036821261
-200,-100,1.67E-04,7.57E-05,-4.13E-05,2.037802201,-0.963382135,-1.864600386,-0.03583907,-0.030898348
-200,-80,1.63E-04,7.06E-05,-3.69E-05,2.052565562,-1.094633571,-1.923999997,-0.032907123,-0.025413991
-200,-60,1.52E-04,6.60E-05,-3.17E-05,2.065564045,-1.262479447,-1.971581706,-0.03013912,-0.02003042
-200,-40,1.40E-04,6.23E-05,-2.70E-05,2.078348135,-1.406015606,-2.009827154,-0.027302607,-0.014933122
-200,-20,1.29E-04,5.92E-05,-2.30E-05,2.086421776,-1.53728895,-2.040006943,-0.025140757,-0.010281225
-200,0,1.14E-04,5.66E-05,-1.93E-05,2.094739652,-1.648776785,-2.061707192,-0.023341128,-0.006113626
-200,20,9.97E-05,5.45E-05,-1.61E-05,2.100444846,-1.749162099,-2.079483656,-0.021608422,-0.002302378
-200,40,8.50E-05,5.27E-05,-1.33E-05,2.104566318,-1.823641542,-2.093446603,-0.020215915,0.00082194
-200,60,7.65E-05,5.16E-05,-1.16E-05,2.11003154,-1.888452126,-2.101590505,-0.019130522,0.003687802
-200,80,7.09E-05,5.07E-05,-1.05E-05,2.112566208,-1.941118852,-2.110936755,-0.018100976,0.005867798
-200,100,6.55E-05,5.00E-05,-9.53E-06,2.115020808,-1.983988201,-2.116742066,-0.017191529,0.007515127
-200,120,6.06E-05,4.94E-05,-8.64E-06,2.11743487,-2.02535331,-2.125632544,-0.016382176,0.00941124
-200,140,5.70E-05,4.89E-05,-8.02E-06,2.119367143,-2.054229999,-2.130009081,-0.015768175,0.011116431
