t,Ia,Ib,I_total,Fluxr,Fluxl,Fluxu,Leakr,Leakl
0.0,103.0449249438648,118.743388802727,221.7883137465918,-0.4081249173268006,1.4669365435981498,1.248426058117867,0.030491119249231945,0.031699633793600426
2.5000000000000002e-08,103.095099482658,118.78820259084813,221.88330207350612,-0.40754658630456736,1.4668808473424446,1.2479941894530202,0.030506325697736973,0.031714258400778454
5.0000000000000004e-08,103.14527947604026,118.83302126573238,221.97830074177264,-0.4069676127139208,1.466826066506201,1.2475621023334336,0.030521573791788756,0.03172891710642521
7.500000000000001e-08,103.19546491257528,118.87784482452408,222.07330973709935,-0.4063879969271116,1.4667722018519267,1.2471297973843205,0.030536863541375633,0.03174360991881112
1.0000000000000001e-07,103.24565578081321,118.92267326436487,222.1683290451781,-0.40580773931742914,1.466719254142229,1.2466972752318692,0.030552194956460405,0.03175833684618608
1.2500000000000002e-07,103.29585206929069,118.96750658239381,222.26335865168448,-0.4052268402591875,1.4666672241397989,1.2462645365032252,0.030567568046980347,0.031773097896779505
1.5000000000000002e-07,103.34605376653089,119.01234477574725,222.35839854227814,-0.4046453001277161,1.4666161126074018,1.2458315818264796,0.030582982822847153,0.03178789307880024
1.7500000000000002e-07,103.39626086104354,119.05718784155889,222.45344870260243,-0.40406311929938377,1.4665659203078993,1.2453984118306982,0.030598439293946886,0.031802722400436564
2.0000000000000002e-07,103.44647334132505,119.10203577695965,222.5485091182847,-0.40348029815157194,1.4665166480042209,1.2449650271458863,0.03061393747013996,0.03181758586985613
2.2500000000000002e-07,103.49669119585843,119.1468885790778,222.64357977493623,-0.40289683706267504,1.4664682964593654,1.244531428402991,0.030629477361261176,0.031832483495205996
2.5000000000000004e-07,103.54691441311347,119.1917462450388,222.73866065815227,-0.4023127364120949,1.466420866436391,1.2440976162338895,0.030645058977119576,0.03184741528461254
2.75e-07,103.59714298154671,119.23660877196535,222.83375175351205,-0.4017279965802565,1.466374358698433,1.2436635912714133,0.030660682327498495,0.031862381246181466
3.0000000000000004e-07,103.64737688960152,119.28147615697736,222.92885304657887,-0.4011426179485692,1.4663287740086617,1.2432293541492945,0.030676347422155543,0.03187738138799776
3.25e-07,103.69761612570814,119.32634839719192,223.02396452290006,-0.40055660089945655,1.4662841131303124,1.2427949055022052,0.030692054270822527,0.03189241571812569
3.5000000000000004e-07,103.74786067828371,119.37122548972327,223.119086168007,-0.399969945816327,1.4662403768266548,1.242360245965719,0.030707802883205473,0.031907484244608764
3.75e-07,103.79811053573236,119.41610743168279,223.21421796741515,-0.3993826530835902,1.4661975658610074,1.2419253761763307,0.030723593268984554,0.0319225869754697
4.0000000000000003e-07,103.84836568644522,119.46099422017899,223.3093599066242,-0.3987947230866416,1.4661556809967213,1.2414902967714376,0.030739425437814074,0.0319377239187104
4.2500000000000006e-07,103.8986261188005,119.50588585231746,223.40451197111796,-0.3982061562118556,1.4661147229971734,1.2410550083893281,0.030755299399322474,0.031952895082311916
4.5000000000000003e-07,103.94889182116351,119.55078232520086,223.49967414636438,-0.39761695284659937,1.4660746926257773,1.2406195116692014,0.030771215163112278,0.031968100474234484
4.7500000000000006e-07,103.99916278188675,119.5956836359289,223.59484641781566,-0.3970271133792056,1.4660355906459561,1.2401838072511286,0.03078717273876004,0.03198334010241738
5.000000000000001e-07,104.0494389893099,119.64058978159835,223.69002877090827,-0.3964366381989808,1.46599741782115,1.2397478957760673,0.030803172135816386,0.031998613974779044
5.250000000000001e-07,104.09972043175995,119.68550075930293,223.78522119106287,-0.39584552769620474,1.465960174914813,1.2393117778858562,0.03081921336380593,0.03201392209921693
5.5e-07,104.15000709755117,119.73041656613337,223.88042366368455,-0.3952537822621281,1.465923862690411,1.2388754542232139,0.03083529643222723,0.03202926448360751
5.75e-07,104.20029897498522,119.77533719917737,223.9756361741626,-0.3946614022889415,1.465888481911389,1.2384389254316976,0.030851421350552886,0.032044641135806316
6.000000000000001e-07,104.25059605235116,119.82026265551954,224.07085870787068,-0.3940683881698137,1.4658540333412093,1.238002192155753,0.030867588128229335,0.032060052063647836
6.25e-07,104.30089831792552,119.86519293224143,224.16609125016694,-0.39347474029885565,1.4658205177433121,1.237565255040665,0.030883796774676946,0.0320754972749455
6.5e-07,104.35120575997236,119.91012802642146,224.26133378639383,-0.39288045907113534,1.4657879358811317,1.2371281147325797,0.030900047299289954,0.0320909767774917
6.750000000000001e-07,104.40151836674332,119.95506793513493,224.35658630187825,-0.39228554488266043,1.4657562885180766,1.2366907718784783,0.03091633971143645,0.03210649057905773
7.000000000000001e-07,104.45183612647764,120.00001265545399,224.45184878193163,-0.39168999813036987,1.4657255764175212,1.236253227126168,0.030932674020458364,0.03212203868739376
7.25e-07,104.50215902675538,120.0449621846141,224.54712121136947,-0.3910933070918462,1.4656952563116354,1.2358147505641484,0.03094904960562847,0.03213762020754966
7.5e-07,104.55248477130176,120.08991711017975,224.64240188148153,-0.38868341438097526,1.4637393543089514,1.2327900641995353,0.030963210672207638,0.032150018063305454
7.750000000000001e-07,104.6028133736117,120.13487742720622,224.73769080081792,-0.38628457589598003,1.4617947643705451,1.2297812077290795,0.030977374258326435,0.0321624240128022
8.000000000000001e-07,104.65314484719062,120.17984313073093,224.83298797792156,-0.38389679363819734,1.4598614886718164,1.2267881841982606,0.03099154036796492,0.03217483806003787
8.25e-07,104.70347920555456,120.22481421577348,224.92829342132802,-0.3815200696117263,1.4579395293910842,1.2238109966567075,0.031005709005106175,0.032187260209013434
8.500000000000001e-07,104.75381646223015,120.2697906773356,225.02360713956574,-0.3791544058234084,1.4560288887095691,1.2208496481581717,0.03101988017373645,0.03219969046373291
8.750000000000001e-07,104.80415663075468,120.3147725104013,225.11892914115597,-0.37679980428283655,1.4541295688114024,1.2179041417605405,0.031034053877845105,0.03221212882820341
9.000000000000001e-07,104.85449972467607,120.35975970993675,225.2142594346128,-0.37445626700232765,1.4522415718835988,1.2149744805258003,0.031048230121424665,0.032224575306435056
9.25e-07,104.90484575755299,120.40475227089048,225.30959802844347,-0.3721237959969411,1.4503649001160743,1.2120606675200583,0.031062408908470764,0.032237029902441046
9.500000000000001e-07,104.95519474295479,120.44975018819329,225.40494493114807,-0.3698023932844662,1.448499555701634,1.2091627058135275,0.031076590242982198,0.03224949262023764
9.75e-07,105.00554669446159,120.49475345675832,225.5003001512199,-0.36749206088541053,1.446645540835962,1.2062805984805107,0.03109077412896093,0.03226196346384416
1.0000000000000002e-06,105.05590162566429,120.53976207148108,225.59566369714537,-0.3651928008229994,1.44480285771762,1.2034143485994004,0.03110496057041208,0.03227444243728303
1.0250000000000001e-06,105.1062595501646,120.5847760272395,225.69103557740408,-0.3629046151231747,1.4429715085480461,1.200563959252675,0.031119149571343954,0.032286929544579734
1.0500000000000001e-06,105.15662048157505,120.62979531889393,225.78641580046897,-0.3606275058145908,1.4411514955315505,1.1977294335268944,0.03113334113576802,0.03229942478976285
1.075e-06,105.20698443351907,120.67481994128718,225.88180437480625,-0.3583614749286015,1.4393428208753043,1.1949107745126817,0.031147535267698943,0.03231192817686402
1.1e-06,105.25735141963096,120.71984988924461,225.97720130887558,-0.35610652449925545,1.4375454867893342,1.192107985304718,0.03116173197115461,0.03232443970991804
1.125e-06,105.30772145355597,120.76488515757407,226.07260661113003,-0.35386265656331445,1.4357594954865405,1.1893210690017662,0.03117593125015606,0.03233695939296275
1.15e-06,105.35809454895026,120.80992574106598,226.16802029001624,-0.35162987316020583,1.4339848491826506,1.186550028706606,0.031190133108727616,0.03234948723003914
1.1750000000000002e-06,105.408470719481,120.8549716344934,226.2634423539744,-0.349408176332068,1.4322215500962627,1.1837948675260943,0.031204337550896723,0.03236202322519126
1.2000000000000002e-06,105.45884997882636,120.90002283261198,226.35887281143835,-0.3471975681237059,1.430469600448805,1.1810555885711087,0.031218544580694143,0.032374567382466336
1.2250000000000001e-06,105.50923234067555,120.94507933016008,226.45431167083564,-0.3449980505826058,1.4287290024645483,1.1783321949565644,0.031232754202153847,0.03238711970591473
1.25e-06,105.55961781872885,120.99014112185874,226.5497589405876,-0.3428096257589316,1.4269997583706016,1.1756246898014084,0.031246966419313012,0.032399680199589824
1.275e-06,105.61000642669762,121.03520820241175,226.64521462910938,-0.34063229570551257,1.425281870396902,1.1729330762286043,0.0312611812362121,0.032412248867548274
1.3e-06,105.66039817830435,121.08028056650568,226.74067874481003,-0.3384660624778374,1.4235753407762093,1.1702573573651256,0.03127539865689483,0.03242482571384977
1.325e-06,105.71079308728267,121.12535820880989,226.83615129609257,-0.3363109281340641,1.421880171744114,1.1675975363419653,0.031289618685408194,0.03243741074255723
